"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0020073","0","04/01/2017","00:07:18","440 ","Electrical  wiring/equipment problem, Other       ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","160 ","Eating, drinking places, other                    ","23      ","  ","BOYLSTON                 ","  ","PL  ","                                        ","  ","                         ","  ","    "
"17-0020076","0","04/01/2017","00:09:30","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","215 ","High school/junior high school/middle school      ","75      ","  ","MALCOLM X                ","  ","BLVD",": #18-2235                              ","  ","                         ","  ","    "
"17-0020077","0","04/01/2017","00:15:43","552 ","Police matter                                     ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","900 ","Outside or special property, Other                ","106     ","  ","BEDFORD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0020078","0","04/01/2017","00:17:53","116 ","Fuel burner/boiler malfunction, fire confined     ","100.0000","100.0000","08   ","DO             ","Dorchester                                        ","02122     ","419 ","1 or 2 family dwelling                            ","596     ","  ","FREEPORT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0020079","0","04/01/2017","00:18:24","714 ","Central station, malicious false alarm            ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","110 ","Fixed-use recreation places, other                ","236     ","  ","SPRING                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0020085","0","04/01/2017","00:44:09","714 ","Central station, malicious false alarm            ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","110 ","Fixed-use recreation places, other                ","236     ","  ","SPRING                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0020088","0","04/01/2017","01:02:31","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","963 ","Street or road in commercial area                 ","33      ","  ","KILMARNOCK               ","  ","ST  ",": @SHAWS SUPERMARKET - 33 KILMARNOCK ST,","  ","                         ","  ","    "
"17-0020089","0","04/01/2017","01:19:06","500 ","Service Call, other                               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","784     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0020091","0","04/01/2017","01:25:17","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","500 ","Mercantile, business, Other                       ","17-19   ","  ","BEACH                    ","  ","ST  ",": #CLM1139                              ","  ","                         ","  ","    "
"17-0020093","0","04/01/2017","01:38:21","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","110 ","Fixed-use recreation places, other                ","10      ","  ","MORRELL                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
