"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0049039","0","08/01/2017","00:09:51","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","129     ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0049040","0","08/01/2017","00:31:27","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","161 ","Restaurant or cafeteria                           ","540     ","  ","COMMONWEALTH             ","  ","AVE ",": @MCDONALDS - 540 COMMONWEALTH AVE, BOS","  ","                         ","  ","    "
"17-0049043","0","08/01/2017","00:54:21","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","419 ","1 or 2 family dwelling                            ","8       ","  ","BRINTON                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0049045","0","08/01/2017","01:01:37","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","    ","","271     ","  ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0049050","0","08/01/2017","01:42:43","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","419 ","1 or 2 family dwelling                            ","83      ","  ","WESTMORE                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0049052","0","08/01/2017","02:30:04","131 ","Passenger vehicle fire                            ","5000.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","962 ","Residential street, road or residential driveway  ","94      ","  ","THETFORD                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0049055","0","08/01/2017","03:13:32","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02119     ","460 ","Dormitory-type residence, other                   ","409     ","  ","WALNUT                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0049056","0","08/01/2017","03:33:05","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","    ","","40      ","  ","BERKELEY                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0049057","0","08/01/2017","04:10:03","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","963 ","Street or road in commercial area                 ","        ","  ","MASSACHUSETTS            ","  ","AVE ",": alias MASSACHUSETTS AVE/CASS BLVD RX B","  ","MELNEA CASS              ","  ","BLVD"
"17-0049058","0","08/01/2017","04:36:09","621 ","Wrong location                                    ","0.0000","0.0000","09   ","BO             ","Boston                                            ","02115     ","NNN ","None                                              ","911     ","  ","BOYLSTON                 ","  ","ST  ",": @MCGREEVYS - 911 BOYLSTON ST, BOSTON  ","  ","                         ","  ","    "
"17-0049059","0","08/01/2017","04:37:33","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","519 ","Food and beverage sales, grocery store            ","911     ","  ","BOYLSTON                 ","  ","ST  ",": @MCGREEVYS - 911 BOYLSTON ST, BOSTON  ","  ","                         ","  ","    "
"17-0049061","0","08/01/2017","04:58:06","131 ","Passenger vehicle fire                            ","5000.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","962 ","Residential street, road or residential driveway  ","94      ","  ","SELDEN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0049062","0","08/01/2017","05:02:43","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","11      ","  ","CLAREMONT                ","  ","PARK","                                        ","  ","                         ","  ","    "
"17-0049063","0","08/01/2017","05:17:20","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","963 ","Street or road in commercial area                 ","        ","  ","WARREN                   ","  ","ST  ",": alias WARR/MLK                        ","  ","MARTIN LUTHER KING JR    ","  ","BLVD"
"17-0049064","0","08/01/2017","05:42:45","552 ","Police matter                                     ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","35      ","  ","MOUNT PLEASANT           ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0049065","0","08/01/2017","06:00:20","200 ","Overpressure rupture, explosion, overheat other   ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","500 ","Mercantile, business, Other                       ","1614    ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0049066","0","08/01/2017","06:01:57","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","147     ","  ","COTTAGE                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0049067","0","08/01/2017","06:10:20","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","11      ","  ","CORNWALL                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0049069","0","08/01/2017","06:20:17","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","NNN ","None                                              ","1334    ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
