"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0079308","0","12/01/2017","00:17:37","411 ","Gasoline or other flammable liquid spill          ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","960 ","Street, Other                                     ","        ","  ","ERIE                     ","  ","ST  ","                                        ","  ","SEAVER                   ","  ","ST  "
"17-0079311","0","12/01/2017","01:08:22","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","33      ","  ","HANSON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0079312","0","12/01/2017","01:14:28","552 ","Police matter                                     ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","962 ","Residential street, road or residential driveway  ","21      ","  ","FIRTH                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0079313","0","12/01/2017","01:38:26","552 ","Police matter                                     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","500 ","Mercantile, business, Other                       ","556     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0079314","0","12/01/2017","01:57:15","553 ","Public service                                    ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","900 ","Outside or special property, Other                ","112     ","  ","SOUTHAMPTON              ","  ","ST  ",": @SHELTER-SOUTHAMPTON ST, RX           ","  ","                         ","  ","    "
"17-0079315","0","12/01/2017","02:22:21","714 ","Central station, malicious false alarm            ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","439 ","Boarding/rooming house, residential hotels        ","28      ","  ","ROCKWELL                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0079316","0","12/01/2017","02:37:57","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","429 ","Multifamily dwelling                              ","250     ","  ","WALNUT                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0079318","0","12/01/2017","04:51:38","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","419 ","1 or 2 family dwelling                            ","        ","  ","KITTREDGE                ","  ","ST  ","                                        ","  ","WASHINGTON               ","  ","ST  "
"17-0079319","0","12/01/2017","04:57:49","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","    ","","176     ","  ","COREY                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0079321","0","12/01/2017","05:33:02","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","401     ","  ","BORDER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0079324","0","12/01/2017","06:17:45","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","47      ","  ","CHELSEA                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0079326","0","12/01/2017","06:34:04","900A","FIU activity  (not covered by other inc types)    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","213 ","Elementary school, including kindergarten         ","50      ","  ","SCHOOL                   ","  ","ST  ",": @SCH-WARREN-PRESCOTT SCHOOL - 50 SCHOO","  ","                         ","  ","    "
"17-0079327","0","12/01/2017","06:35:37","522 ","Water or steam leak                               ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","24      ","  ","STOCKWELL                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0079330","0","12/01/2017","07:14:45","554 ","Assist invalid                                    ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","125     ","  ","SANBORN                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0079331","0","12/01/2017","07:15:03","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","500 ","Mercantile, business, Other                       ","1       ","  ","DESIGN CENTER            ","  ","PL  ",": #17-751                               ","  ","                         ","  ","    "
"17-0079333","0","12/01/2017","07:24:36","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","    ","","393     ","  ","MASSACHUSETTS            ","  ","AVE ",": @MBTA STA-MASS AV                     ","  ","                         ","  ","    "
"17-0079335","0","12/01/2017","07:34:24","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","210 ","Schools, non-adult, other                         ","232     ","  ","CENTRE                   ","  ","ST  ",": @SCH-SCHOOL JOHN - 232 CENTRE ST, DORC","  ","                         ","  ","    "
"17-0079336","0","12/01/2017","07:35:05","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","599 ","Business office                                   ","54-62   ","  ","BROAD                    ","  ","ST  ",": #12-1285                              ","  ","                         ","  ","    "
"17-0079337","0","12/01/2017","07:45:20","111 ","Building fire                                     ","400000.0000","0.0000","07   ","RX             ","Roxbury                                           ","02121     ","429 ","Multifamily dwelling                              ","13      ","  ","GASTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0079338","0","12/01/2017","07:49:17","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","419 ","1 or 2 family dwelling                            ","362     ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0079339","0","12/01/2017","07:58:38","554 ","Assist invalid                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","400 ","Residential, Other                                ","11      ","  ","FENWOOD                  ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0079341","0","12/01/2017","08:19:27","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","429 ","Multifamily dwelling                              ","35      ","  ","NORTHAMPTON              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0079343","0","12/01/2017","08:23:49","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","419 ","1 or 2 family dwelling                            ","38      ","  ","PARK VALE                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0079344","0","12/01/2017","08:25:48","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","100 ","Assembly, Other                                   ","77      ","  ","EXETER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0079346","0","12/01/2017","08:30:01","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","    ","","300     ","  ","SAVIN HILL               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0079347","0","12/01/2017","08:31:58","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","331 ","Hospital - medical or psychiatric                 ","840     ","  ","HARRISON                 ","  ","AVE ",": #12-1664                              ","  ","                         ","  ","    "
"17-0079349","0","12/01/2017","08:39:49","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","599 ","Business office                                   ","54-62   ","  ","BROAD                    ","  ","ST  ",": #12-1285                              ","  ","                         ","  ","    "
"17-0079350","0","12/01/2017","08:45:03","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","180 ","Studio/theater, Other                             ","106-98  ","  ","BOYLSTON                 ","  ","ST  ",": #13-1511                              ","  ","                         ","  ","    "
"17-0079354","0","12/01/2017","09:03:42","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","339     ","  ","DUDLEY                   ","  ","ST  ",": #12-2133                              ","  ","                         ","  ","    "
"17-0079355","0","12/01/2017","09:05:11","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","    ","","        ","  ","NORTHAMPTON              ","  ","ST  ","                                        ","  ","ALBANY                   ","  ","ST  "
"17-0079356","0","12/01/2017","09:05:34","113 ","Cooking fire, confined to container               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","599 ","Business office                                   ","38      ","  ","CHAUNCY                  ","  ","ST  ",": #INS451                               ","  ","                         ","  ","    "
"17-0079360","0","12/01/2017","09:14:12","554 ","Assist invalid                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","30      ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0079361","0","12/01/2017","09:20:51","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","952 ","Railroad yard                                     ","41R     ","  ","WOLCOTT                  ","  ","CT  ","                                        ","  ","                         ","  ","    "
"17-0079363","0","12/01/2017","09:25:36","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","299     ","  ","SAVIN HILL               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0079367","0","12/01/2017","09:47:20","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","962 ","Residential street, road or residential driveway  ","        ","  ","UNION                    ","  ","ST  ","                                        ","  ","WASHINGTON               ","  ","ST  "
"17-0079370","0","12/01/2017","09:53:46","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","419 ","1 or 2 family dwelling                            ","269     ","  ","SAVIN HILL               ","  ","AVE ","                                        ","  ","                         ","  ","    "
