Incident Number,Exposure Number,Alarm Date,Alarm Time,Incident Type,Incident Description,Estimated Property Loss,Estimated Content Loss,District,City Section,Neighborhood,Zip,Property Use,Property Description,Street Number,Street Prefix,Street Name,Street Type,Street Suffix,Address 2,xStreet Prefix,xStreet Name,xStreet Type,xStreet Suffix
17-0006578,0,02/01/17,0:44:33,745,"Alarm system activation, no fire - unintentional  ",0,0,1,EB             ,East Boston                                       ,02128,155,Courthouse                                        ,37,  ,MERIDIAN                 ,  ,ST  ,: #12-6153                              ,  ,                         ,  ,
17-0006579,0,02/01/17,0:46:06,111,Building fire                                     ,2500,500,8,MT             ,Mattapan                                          ,02126,419,1 or 2 family dwelling                            ,371,  ,RIVER                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006580,0,02/01/17,1:12:34,651,"Smoke scare, odor of smoke                        ",0,0,9,JP             ,Jamaica Plain                                     ,02130,429,Multifamily dwelling                              ,55,  ,ELIOT                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006582,0,02/01/17,1:48:31,735,Alarm system sounded due to malfunction           ,0,0,11,BR             ,Allston-Brighton                                  ,02135,429,Multifamily dwelling                              ,20,  ,WASHINGTON               ,  ,ST  ,: #14-531                               ,  ,                         ,  ,
17-0006584,0,02/01/17,1:56:12,714,"Central station, malicious false alarm            ",0,0,11,BR             ,Allston-Brighton                                  ,02134,429,Multifamily dwelling                              ,110,  ,CHESTER                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006585,0,02/01/17,1:59:00,745,"Alarm system activation, no fire - unintentional  ",0,0,4,BO             ,Boston                                            ,02115,400,"Residential, Other                                ",38-46   ,  ,BURBANK                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006586,0,02/01/17,2:22:26,600,"Good intent call, Other                           ",0,0,3,CH             ,Charlestown                                       ,02129,400,"Residential, Other                                ",76,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006587,0,02/01/17,2:27:52,735,Alarm system sounded due to malfunction           ,0,0,6,SB             ,South Boston                                      ,02210,891,Warehouse                                         ,7,  ,CHANNEL                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006590,0,02/01/17,3:07:01,652,"Steam, vapor, fog or dust thought to be smoke     ",0,0,3,BO             ,Boston                                            ,02110,429,Multifamily dwelling                              ,1,  ,FRANKLIN                 ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006591,0,02/01/17,3:27:13,118,"Trash or rubbish fire, contained                  ",0,500,4,BO             ,Boston                                            ,02215,200,"Educational, Other                                ",100,  ,BAY STATE                ,  ,RD  ,: #BU158                                ,  ,                         ,  ,
17-0006592,0,02/01/17,3:27:55,743,"Smoke detector activation, no fire - unintentional",0,0,4,BO             ,Boston                                            ,02115,400,"Residential, Other                                ",270,  ,HUNTINGTON               ,  ,AVE ,: #AFA6782                              ,  ,                         ,  ,
17-0006593,0,02/01/17,3:53:19,510,"Person in distress, Other                         ",0,0,4,BO             ,Boston                                            ,02116,960,"Street, Other                                     ",200,  ,STUART                   ,  ,ST  ,": @HOTEL-REVERE HOTEL - 200 STUART ST, B",  ,                         ,  ,
17-0006594,0,02/01/17,3:54:58,611,Dispatched & cancelled en route                   ,0,0,4,               ,NULL,02116,    ,NULL,2,  ,WARREN                   ,  ,ST  ,: EST SEAVER PL/WARRENTON ST BO BSTN    ,  ,                         ,  ,
17-0006595,0,02/01/17,4:16:42,131,Passenger vehicle fire                            ,0,0,7,DO             ,Dorchester                                        ,02125,900,"Outside or special property, Other                ",648,  ,COLUMBIA                 ,  ,RD  ,                                        ,  ,                         ,  ,
17-0006596,0,02/01/17,4:21:32,735,Alarm system sounded due to malfunction           ,0,0,4,BO             ,Boston                                            ,02118,429,Multifamily dwelling                              ,10,E ,BROOKLINE                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006598,0,02/01/17,5:15:14,611,Dispatched & cancelled en route                   ,0,0,6,RX             ,Roxbury                                           ,02118,361,"Jail, prison (not juvenile)                       ",20,  ,BRADSTON                 ,  ,ST  ,: @SUFF-SUFFOLK COUNTY HOUSE OF CORRECTI,  ,                         ,  ,
17-0006599,0,02/01/17,5:31:05,736,CO detector activation due to malfunction         ,0,0,3,BO             ,Boston                                            ,02108,419,1 or 2 family dwelling                            ,6,  ,WALNUT                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006601,0,02/01/17,5:58:12,745,"Alarm system activation, no fire - unintentional  ",0,0,4,BO             ,Boston                                            ,02215,460,"Dormitory-type residence, other                   ",42,  ,BUSWELL                  ,  ,ST  ,: #BU343                                ,  ,                         ,  ,
17-0006602,0,02/01/17,6:06:52,511,Lock-out                                          ,0,0,12,RS             ,Roslindale                                        ,02131,960,"Street, Other                                     ",244,  ,METROPOLITAN             ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006604,0,02/01/17,6:23:51,652,"Steam, vapor, fog or dust thought to be smoke     ",0,0,3,BO             ,Boston                                            ,02109,449,"Hotel/motel, commercial                           ",185-189 ,  ,STATE                    ,  ,ST  ,: #INS865                               ,  ,                         ,  ,
17-0006607,0,02/01/17,6:34:53,113,"Cooking fire, confined to container               ",0,0,7,DO             ,Dorchester                                        ,02122,311,"24-hour care Nursing homes, 4 or more persons     ",32-38   ,  ,DICKENS                  ,  ,ST  ,: #WYN635                               ,  ,                         ,  ,
17-0006608,0,02/01/17,7:30:24,553,Public service                                    ,0,0,1,EB             ,East Boston                                       ,02128,961,Highway or divided highway                        ,        ,  ,NEPTUNE                  ,  ,RD  ,: alias NEPTUNE RD/MCCLELLAN HWY EB BSTN,  ,WILLIAM F MCCLELLAN      ,  ,HWY
17-0006612,0,02/01/17,8:07:08,714,"Central station, malicious false alarm            ",0,0,4,BO             ,Boston                                            ,02115,429,Multifamily dwelling                              ,349,  ,NEWBURY                  ,  ,ST  ,: #14-1582                              ,  ,                         ,  ,
17-0006617,0,02/01/17,8:32:24,553,Public service                                    ,0,0,4,BO             ,Boston                                            ,02115,429,Multifamily dwelling                              ,499,  ,HUNTINGTON               ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006621,0,02/01/17,8:39:00,714,"Central station, malicious false alarm            ",0,0,7,RX             ,Roxbury                                           ,02119,429,Multifamily dwelling                              ,338,  ,WARREN                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006622,0,02/01/17,8:45:37,553,Public service                                    ,0,0,8,DO             ,Dorchester                                        ,02122,960,"Street, Other                                     ",14,  ,CHICKATAWBUT             ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006623,0,02/01/17,8:46:19,700,"False alarm or false call, Other                  ",0,0,12,RS             ,Roslindale                                        ,02131,429,Multifamily dwelling                              ,1,  ,CLIFFMONT                ,  ,ST  ,: #13-2649                              ,  ,                         ,  ,
17-0006624,0,02/01/17,9:06:04,743,"Smoke detector activation, no fire - unintentional",0,0,3,BO             ,Boston                                            ,02114,400,"Residential, Other                                ",8,  ,WHITTIER                 ,  ,PL  ,: #16-1344                              ,  ,                         ,  ,
17-0006628,0,02/01/17,9:35:55,551,Assist police or other governmental agency        ,0,0,3,               ,NULL,02109,941,"Open ocean, sea or tidal waters                   ",        ,  ,CHELSEA CREEK            ,  ,    ,                                        ,  ,                         ,  ,
17-0006629,0,02/01/17,9:39:17,745,"Alarm system activation, no fire - unintentional  ",0,0,9,RX             ,Roxbury                                           ,02119,131,"Church, mosque, synagogue, temple, chapel         ",100,  ,MALCOLM X                ,  ,BLVD,: #ACI0184                              ,  ,                         ,  ,
17-0006632,0,02/01/17,9:44:46,714,"Central station, malicious false alarm            ",0,0,6,SB             ,South Boston                                      ,02127,429,Multifamily dwelling                              ,47,  ,CROWLEY-ROGERS           ,  ,WAY ,: alias 47 CROWLEY ROGERS WAY SB BSTN   ,  ,                         ,  ,
17-0006633,0,02/01/17,9:55:17,715,"Local alarm system, malicious false alarm         ",0,0,4,BO             ,Boston                                            ,02116,429,Multifamily dwelling                              ,83,  ,MARLBOROUGH              ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006636,0,02/01/17,10:32:38,113,"Cooking fire, confined to container               ",0,0,9,JP             ,Jamaica Plain                                     ,02130,311,"24-hour care Nursing homes, 4 or more persons     ",135,S ,HUNTINGTON               ,  ,AVE ,: #12-2383                              ,  ,                         ,  ,
17-0006642,0,02/01/17,11:19:53,611,Dispatched & cancelled en route                   ,0,0,9,RX             ,Roxbury                                           ,02119,    ,NULL,2360,  ,WASHINGTON               ,  ,ST  ,: @DUNKIN DONUTS - 2360 WASHINGTON ST # ,  ,                         ,  ,
17-0006643,0,02/01/17,11:20:54,714,"Central station, malicious false alarm            ",0,0,3,BO             ,Boston                                            ,02113,519,"Food and beverage sales, grocery store            ",78,  ,SALEM                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006645,0,02/01/17,11:27:02,600,"Good intent call, Other                           ",0,0,8,DO             ,Dorchester                                        ,02124,419,1 or 2 family dwelling                            ,27,  ,CARRUTH                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006646,0,02/01/17,11:34:16,412,Gas leak (natural gas or LPG)                     ,0,0,4,BO             ,Boston                                            ,02215,960,"Street, Other                                     ",        ,  ,BOYLSTON                 ,  ,ST  ,                                        ,  ,PARK                     ,  ,DR
17-0006647,0,02/01/17,11:34:17,743,"Smoke detector activation, no fire - unintentional",0,0,3,BO             ,Boston                                            ,02114,419,1 or 2 family dwelling                            ,35,  ,MYRTLE                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006648,0,02/01/17,11:34:47,553,Public service                                    ,0,0,12,HP             ,Hyde Park                                         ,02136,962,"Residential street, road or residential driveway  ",22,  ,AVILA                    ,  ,RD  ,                                        ,  ,                         ,  ,
17-0006649,0,02/01/17,11:37:49,550,"Public service assistance, Other                  ",0,0,7,RX             ,Roxbury                                           ,02119,960,"Street, Other                                     ",        ,  ,MELNEA CASS              ,  ,BLVD,: alias CASS BLVD/HAMPDEN ST RX BSTN    ,  ,HAMPDEN                  ,  ,ST
17-0006652,0,02/01/17,11:48:17,522,Water or steam leak                               ,0,0,9,RX             ,Roxbury                                           ,02119,400,"Residential, Other                                ",80,  ,WALNUT                   ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006653,0,02/01/17,12:02:36,522,Water or steam leak                               ,0,0,3,BO             ,Boston                                            ,02113,429,Multifamily dwelling                              ,61,  ,SALEM                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006659,0,02/01/17,12:29:30,113,"Cooking fire, confined to container               ",0,0,12,HP             ,Hyde Park                                         ,02136,429,Multifamily dwelling                              ,11,  ,SUMMER                   ,  ,ST  ,: #13-3816                              ,  ,                         ,  ,
17-0006660,0,02/01/17,12:43:18,553,Public service                                    ,0,0,7,DO             ,Dorchester                                        ,02121,962,"Residential street, road or residential driveway  ",198,  ,GENEVA                   ,  ,AVE ,                                        ,  ,                         ,  ,
17-0006661,0,02/01/17,12:43:36,745,"Alarm system activation, no fire - unintentional  ",0,0,7,DO             ,Dorchester                                        ,02125,500,"Mercantile, business, Other                       ",50,  ,WILLIAM T MORRISSEY      ,  ,BLVD,: #15-1818                              ,  ,                         ,  ,
17-0006662,0,02/01/17,12:48:47,714,"Central station, malicious false alarm            ",0,0,4,BO             ,Boston                                            ,02118,429,Multifamily dwelling                              ,94,W ,NEWTON                   ,  ,ST  ,: @BHA-WEST NEWTON STREET               ,  ,                         ,  ,
17-0006663,0,02/01/17,12:53:40,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,02114,174,Rapid transit station                             ,6,  ,BOWDOIN                  ,  ,SQ  ,: @MBTA STA-BOWDOIN                     ,  ,                         ,  ,
17-0006664,0,02/01/17,13:00:52,511,Lock-out                                          ,0,0,9,RX             ,Roxbury                                           ,02119,965,Vehicle parking area                              ,        ,  ,WARREN                   ,  ,ST  ,                                        ,  ,MARTIN LUTHER KING JR    ,  ,BLVD
17-0006665,0,02/01/17,13:08:09,553,Public service                                    ,0,0,8,DO             ,Dorchester                                        ,02124,400,"Residential, Other                                ",1129,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006669,0,02/01/17,13:20:20,652,"Steam, vapor, fog or dust thought to be smoke     ",0,0,3,BO             ,Boston                                            ,02114,429,Multifamily dwelling                              ,150,  ,STANIFORD                ,  ,ST  ,: #13-1342                              ,  ,                         ,  ,
17-0006670,0,02/01/17,13:21:56,553,Public service                                    ,0,0,3,BO             ,Boston                                            ,02114,519,"Food and beverage sales, grocery store            ",103,  ,CANAL                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006674,0,02/01/17,13:44:58,714,"Central station, malicious false alarm            ",0,0,4,RX             ,Roxbury                                           ,02120,400,"Residential, Other                                ",75,  ,WINDSOR                  ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006675,0,02/01/17,13:46:43,111,Building fire                                     ,20000,2000,1,EB             ,East Boston                                       ,02128,419,1 or 2 family dwelling                            ,150,  ,BAYSWATER                ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006677,0,02/01/17,13:54:00,611,Dispatched & cancelled en route                   ,0,0,12,WR             ,West Roxbury                                      ,02132,429,Multifamily dwelling                              ,270,  ,SPRING                   ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006680,0,02/01/17,14:20:18,700,"False alarm or false call, Other                  ",0,0,6,SB             ,South Boston                                      ,02127,429,Multifamily dwelling                              ,221,W ,BROADWAY                 ,  ,    ,: #PAT5168                              ,  ,                         ,  ,
17-0006681,0,02/01/17,14:21:42,113,"Cooking fire, confined to container               ",0,0,8,DO             ,Dorchester                                        ,02124,429,Multifamily dwelling                              ,17,  ,EDSON                    ,  ,ST  ,                                        ,  ,                         ,  ,
17-0006686,0,02/01/17,14:51:23,442,Overheated motor                                  ,0,0,1,EB             ,East Boston                                       ,02128,900,"Outside or special property, Other                ",5,  ,EVERETT                  ,  ,CT  ,                                        ,  ,                         ,  ,
