Incident Number,Exposure Number,Alarm Date,Alarm Time,Incident Type,Incident Description,Estimated Property Loss,Estimated Content Loss,District,City Section,Neighborhood,Zip,Property Use,Property Description,Street Number,Street Prefix,Street Name,Street Type,Street Suffix,Address 2,xStreet Prefix,xStreet Name,xStreet Type,xStreet Suffix
17-0000001,0,01/01/17,0:20:48,735,Alarm system sounded due to malfunction           ,0,0,11,BR             ,Allston-Brighton                                  ,02135,162,Bar or nightclub                                  ,356,  ,CHESTNUT HILL            ,  ,AVE ,: #WYN1182                              ,  ,                         ,  ,    
17-0000003,0,01/01/17,0:44:07,113,"Cooking fire, confined to container               ",0,0,7,RX             ,Roxbury                                           ,02119,419,1 or 2 family dwelling                            ,62,  ,WINTHROP                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000005,0,01/01/17,0:51:43,651,"Smoke scare, odor of smoke                        ",0,0,6,SB             ,South Boston                                      ,02127,400,"Residential, Other                                ",16,  ,HENRY STERLING           ,  ,SQ  ,                                        ,  ,                         ,  ,    
17-0000006,0,01/01/17,0:56:09,553,Public service                                    ,0,0,4,BO             ,Boston                                            ,02215,963,Street or road in commercial area                 ,645,  ,BEACON                   ,  ,ST  ,: @HOTEL-BUCKMINSTER HOTEL - 645 BEACON ,  ,                         ,  ,    
17-0000008,0,01/01/17,1:14:29,552,Police matter                                     ,0,0,7,RX             ,Roxbury                                           ,02118,900,"Outside or special property, Other                ",874,  ,MASSACHUSETTS            ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0000009,0,01/01/17,1:18:02,714,"Central station, malicious false alarm            ",0,0,3,CH             ,Charlestown                                       ,02129,700,"Manufacturing, processing                         ",14,  ,BUNKER HILL INDUSTRIAL   ,  ,PARK,                                        ,  ,                         ,  ,    
17-0000010,0,01/01/17,1:25:00,714,"Central station, malicious false alarm            ",0,0,4,BO             ,Boston                                            ,02116,100,"Assembly, Other                                   ",100,  ,STUART                   ,  ,ST  ,: #14-1511                              ,  ,                         ,  ,    
17-0000011,0,01/01/17,1:26:52,522,Water or steam leak                               ,0,0,7,RX             ,Roxbury                                           ,02119,419,1 or 2 family dwelling                            ,50,E ,COTTAGE                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0000012,0,01/01/17,1:27:22,552,Police matter                                     ,0,0,6,RX             ,Roxbury                                           ,02118,900,"Outside or special property, Other                ",874,  ,MASSACHUSETTS            ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0000013,0,01/01/17,1:32:16,600,"Good intent call, Other                           ",0,0,9,RX             ,Roxbury                                           ,02119,962,"Residential street, road or residential driveway  ",2400,  ,WASHINGTON               ,  ,ST  ,: @BPD-BOSTON POLICE DEPT DISTRICT B2   ,  ,                         ,  ,    
