"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0041779","0","07/01/2017","00:39:02","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","79      ","  ","CHANDLER                 ","  ","ST  ",": #WYN3087                              ","  ","                         ","  ","    "
"17-0041782","0","07/01/2017","01:16:06","413 ","Oil or other combustible liquid spill             ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","960 ","Street, Other                                     ","128     ","  ","NEPONSET                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041784","0","07/01/2017","01:18:39","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","151     ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041785","0","07/01/2017","01:19:10","554 ","Assist invalid                                    ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","16      ","  ","MARGINAL                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041788","0","07/01/2017","01:46:25","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","960 ","Street, Other                                     ","        ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","MARCELLA                 ","  ","ST  "
"17-0041789","0","07/01/2017","01:48:34","551 ","Assist police or other governmental agency        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","900 ","Outside or special property, Other                ","121     ","  ","TREMONT                  ","  ","ST  ",": @MBTA STA-PARK ST                     ","  ","                         ","  ","    "
"17-0041791","0","07/01/2017","02:05:30","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","963 ","Street or road in commercial area                 ","        ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","MASSACHUSETTS            ","  ","AVE "
"17-0041792","0","07/01/2017","02:12:34","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","400 ","Residential, Other                                ","509     ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0041795","0","07/01/2017","02:28:50","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","    ","","1000    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041798","0","07/01/2017","03:13:03","552 ","Police matter                                     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","960 ","Street, Other                                     ","        ","  ","ALBANY                   ","  ","ST  ","                                        ","  ","HERALD                   ","  ","ST  "
"17-0041799","0","07/01/2017","03:44:16","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","900 ","Outside or special property, Other                ","        ","  ","BERKELEY                 ","  ","ST  ","                                        ","  ","PROVIDENCE               ","  ","ST  "
"17-0041801","0","07/01/2017","04:00:10","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","    ","","545     ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041802","0","07/01/2017","04:50:18","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","429 ","Multifamily dwelling                              ","71      ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041803","0","07/01/2017","04:55:25","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","    ","","942     ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041806","0","07/01/2017","05:20:31","111 ","Building fire                                     ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","1971    ","  ","DORCHESTER               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041809","0","07/01/2017","05:31:52","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","200     ","  ","COREY                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0041815","0","07/01/2017","06:41:30","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","155     ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041817","0","07/01/2017","07:15:26","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","51      ","  ","HUMBOLDT                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041819","0","07/01/2017","07:24:06","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","               ","","00000     ","100 ","Assembly, Other                                   ","        ","  ","THOMPSON ISLAND          ","  ","    ",": #ACI0160                              ","  ","                         ","  ","    "
"17-0041820","0","07/01/2017","07:49:24","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","500 ","Mercantile, business, Other                       ","25      ","  ","DRY DOCK                 ","  ","AVE ",": #13-751                               ","  ","                         ","  ","    "
"17-0041821","0","07/01/2017","08:02:57","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","429 ","Multifamily dwelling                              ","1       ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0041822","0","07/01/2017","08:03:38","500 ","Service Call, other                               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","538     ","  ","TALBOT                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0041823","0","07/01/2017","08:08:49","600 ","Good intent call, Other                           ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","496     ","  ","LAGRANGE                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
