"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0034117","0","06/01/2017","00:02:29","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","4       ","  ","COMMONWEALTH             ","  ","CT  ","                                        ","  ","                         ","  ","    "
"17-0034118","0","06/01/2017","00:31:30","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","1511-152","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034120","0","06/01/2017","00:50:41","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","400 ","Residential, Other                                ","1158    ","  ","TREMONT                  ","  ","ST  ",": #CLM626                               ","  ","                         ","  ","    "
"17-0034121","0","06/01/2017","00:55:20","714 ","Central station, malicious false alarm            ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","460 ","Dormitory-type residence, other                   ","110     ","  ","LIVERMORE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034123","0","06/01/2017","01:18:04","714 ","Central station, malicious false alarm            ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","640 ","Utility or Distribution system, Other             ","761     ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034124","0","06/01/2017","01:32:22","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","    ","","780     ","  ","ALBANY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034125","0","06/01/2017","01:34:40","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","50      ","  ","NELSON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0034126","0","06/01/2017","02:02:36","554 ","Assist invalid                                    ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","459 ","Residential board and care                        ","1344    ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0034127","0","06/01/2017","02:03:20","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","900 ","Outside or special property, Other                ","        ","  ","MASSACHUSETTS            ","  ","AVE ",": alias MASS AVE/HUNTINGTON AVE BO BSTN ","  ","HUNTINGTON               ","  ","AVE "
"17-0034128","0","06/01/2017","02:24:03","600 ","Good intent call, Other                           ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","900 ","Outside or special property, Other                ","        ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","COLUMBIA                 ","  ","RD  "
