Incident Number,Exposure Number,Alarm Date,Alarm Time,Incident Type,Incident Description,Estimated Property Loss,Estimated Content Loss,District,City Section,Neighborhood,Zip,Property Use,Property Description,Street Number,Street Prefix,Street Name,Street Type,Street Suffix,Address 2,xStreet Prefix,xStreet Name,xStreet Type,xStreet Suffix
17-0012825,0,3/1/17,0:11:01,151,"Outside rubbish, trash or waste fire              ",0,0,11,BR             ,Allston-Brighton                                  ,2134,962,"Residential street, road or residential driveway  ",        ,  ,GLENVILLE                ,  ,AVE ,                                        ,  ,LONG                     ,  ,AVE 
17-0012826,0,3/1/17,0:46:19,715,"Local alarm system, malicious false alarm         ",0,0,1,EB             ,East Boston                                       ,2128,419,1 or 2 family dwelling                            ,29,  ,HAVRE                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012829,0,3/1/17,0:53:50,733,Smoke detector activation due to malfunction      ,0,0,7,DO             ,Dorchester                                        ,2121,429,Multifamily dwelling                              ,568,  ,BLUE HILL                ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012831,0,3/1/17,1:16:02,731,Sprinkler activation due to malfunction           ,0,0,4,BO             ,Boston                                            ,2115,599,Business office                                   ,210,  ,MASSACHUSETTS            ,  ,AVE ,: alias 210 MASS                        ,  ,                         ,  ,    
17-0012834,0,3/1/17,1:54:51,651,"Smoke scare, odor of smoke                        ",0,0,7,DO             ,Dorchester                                        ,2121,429,Multifamily dwelling                              ,580,  ,BLUE HILL                ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012836,0,3/1/17,2:22:49,745,"Alarm system activation, no fire - unintentional  ",0,0,6,SB             ,South Boston                                      ,2210,0,"Property Use, Other                               ",7,  ,CHANNEL                  ,  ,ST  ,: #INS298                               ,  ,                         ,  ,    
17-0012838,0,3/1/17,2:46:01,520,"Water problem, Other                              ",0,0,11,BR             ,Allston-Brighton                                  ,2135,429,Multifamily dwelling                              ,1657,  ,COMMONWEALTH             ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012839,0,3/1/17,3:22:00,651,"Smoke scare, odor of smoke                        ",0,0,7,DO             ,Dorchester                                        ,2121,400,"Residential, Other                                ",156,  ,COLUMBIA                 ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0012842,0,3/1/17,4:38:54,113,"Cooking fire, confined to container               ",0,0,7,DO             ,Dorchester                                        ,2125,439,"Boarding/rooming house, residential hotels        ",90,  ,CUSHING                  ,  ,AVE ,: #12-1875                              ,  ,                         ,  ,    
17-0012845,0,3/1/17,5:29:55,700,"False alarm or false call, Other                  ",0,0,9,JP             ,Jamaica Plain                                     ,2130,429,Multifamily dwelling                              ,3147,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012847,0,3/1/17,6:41:41,554,Assist invalid                                    ,0,0,11,BR             ,Allston-Brighton                                  ,2135,429,Multifamily dwelling                              ,11,  ,SHANLEY                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012848,0,3/1/17,6:42:21,440,"Electrical  wiring/equipment problem, Other       ",0,0,8,MT             ,Mattapan                                          ,2126,419,1 or 2 family dwelling                            ,27,  ,SOUTHMERE                ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0012853,0,3/1/17,7:13:12,113,"Cooking fire, confined to container               ",0,0,11,BR             ,Allston-Brighton                                  ,2135,160,"Eating, drinking places, other                    ",470,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012854,0,3/1/17,7:16:49,735,Alarm system sounded due to malfunction           ,0,0,3,BO             ,Boston                                            ,2109,429,Multifamily dwelling                              ,382,  ,NORTH                    ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012855,0,3/1/17,7:18:56,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0012856,0,3/1/17,7:19:09,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0012857,0,3/1/17,7:19:23,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0012858,0,3/1/17,7:19:37,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0012859,0,3/1/17,7:19:52,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0012860,0,3/1/17,7:20:06,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0012861,0,3/1/17,7:20:21,900,"Special type of incident, Other                   ",0,0,8,DO             ,Dorchester                                        ,2124,0,"Property Use, Other                               ",9,  ,GALLIVAN                 ,  ,BLVD,                                        ,  ,                         ,  ,    
17-0012862,0,3/1/17,7:27:36,611,Dispatched & cancelled en route                   ,0,0,7,DO             ,Dorchester                                        ,2125,960,"Street, Other                                     ",465,  ,COLUMBIA                 ,  ,RD  ,                                        ,  ,                         ,  ,    
17-0012863,0,3/1/17,7:27:49,411,Gasoline or other flammable liquid spill          ,0,0,6,               ,NULL,2110,961,Highway or divided highway                        ,        ,  ,I93                      ,N ,    ,: #MTA8                                 ,  ,                         ,  ,    
17-0012864,0,3/1/17,7:38:05,511,Lock-out                                          ,0,0,7,DO             ,Dorchester                                        ,2121,429,Multifamily dwelling                              ,3,  ,SUNDERLAND               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012869,0,3/1/17,7:44:28,600,"Good intent call, Other                           ",0,0,6,SB             ,South Boston                                      ,2127,962,"Residential street, road or residential driveway  ",31,  ,M                        ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012870,0,3/1/17,7:50:04,730,"System malfunction, Other                         ",0,0,3,BO             ,Boston                                            ,2110,500,"Mercantile, business, Other                       ",1,  ,FEDERAL                  ,  ,ST  ,: #13-1275                              ,  ,                         ,  ,    
17-0012873,0,3/1/17,8:49:55,113,"Cooking fire, confined to container               ",0,0,4,RX             ,Roxbury                                           ,2118,400,"Residential, Other                                ",1855,  ,WASHINGTON               ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012874,0,3/1/17,8:50:25,440,"Electrical  wiring/equipment problem, Other       ",0,0,8,MT             ,Mattapan                                          ,2126,900,"Outside or special property, Other                ",572,  ,CUMMINS                  ,  ,HWY ,                                        ,  ,                         ,  ,    
17-0012875,0,3/1/17,9:00:21,651,"Smoke scare, odor of smoke                        ",0,0,9,RX             ,Roxbury                                           ,2119,429,Multifamily dwelling                              ,24,  ,WALNUT                   ,  ,PARK,                                        ,  ,                         ,  ,    
17-0012878,0,3/1/17,9:29:14,714,"Central station, malicious false alarm            ",0,0,4,BO             ,Boston                                            ,2215,429,Multifamily dwelling                              ,15,  ,QUEENSBERRY              ,  ,ST  ,: #INS318                               ,  ,                         ,  ,    
17-0012880,0,3/1/17,9:35:48,113,"Cooking fire, confined to container               ",0,0,7,DO             ,Dorchester                                        ,2125,460,"Dormitory-type residence, other                   ",45,  ,MAGNOLIA                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012885,0,3/1/17,10:00:10,712,"Direct tie to FD, malicious false alarm           ",0,0,9,RX             ,Roxbury                                           ,2120,200,"Educational, Other                                ",75,  ,MALCOLM X                ,  ,BLVD,: #18-2235                              ,  ,                         ,  ,    
17-0012886,0,3/1/17,10:02:30,151,"Outside rubbish, trash or waste fire              ",20,1,4,BO             ,Boston                                            ,2115,938,Graded and cared-for plots of land                ,        ,  ,BOYLSTON                 ,  ,ST  ,                                        ,  ,MASSACHUSETTS            ,  ,AVE 
17-0012891,0,3/1/17,10:18:56,553,Public service                                    ,0,0,4,BO             ,Boston                                            ,2115,900,"Outside or special property, Other                ",400,  ,MARLBOROUGH              ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012892,0,3/1/17,10:21:38,900T,BFD Drill                                         ,0,0,11,BR             ,Allston-Brighton                                  ,2135,900,"Outside or special property, Other                ",155,  ,CHESTNUT HILL            ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012893,0,3/1/17,10:24:27,715,"Local alarm system, malicious false alarm         ",0,0,9,JP             ,Jamaica Plain                                     ,2119,429,Multifamily dwelling                              ,12,  ,CLEAVES                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012897,0,3/1/17,10:58:19,900T,BFD Drill                                         ,0,0,11,BR             ,Allston-Brighton                                  ,2135,900,"Outside or special property, Other                ",7,  ,TURNER                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012898,0,3/1/17,10:58:41,412,Gas leak (natural gas or LPG)                     ,0,0,11,BR             ,Allston-Brighton                                  ,2135,419,1 or 2 family dwelling                            ,87,  ,DUNBOY                   ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012900,0,3/1/17,11:03:14,600,"Good intent call, Other                           ",0,0,8,HP             ,Hyde Park                                         ,2126,419,1 or 2 family dwelling                            ,76,  ,SEMINOLE                 ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012901,0,3/1/17,11:06:22,411,Gasoline or other flammable liquid spill          ,0,0,3,BO             ,Boston                                            ,2114,500,"Mercantile, business, Other                       ",100,  ,LEGENDS                  ,  ,WAY ,: @BLDG-TD GARDEN                       ,  ,                         ,  ,    
17-0012902,0,3/1/17,11:06:48,554,Assist invalid                                    ,0,0,9,JP             ,Jamaica Plain                                     ,2130,429,Multifamily dwelling                              ,111,  ,PERKINS                  ,  ,ST  ,                                        ,  ,                         ,  ,    
17-0012903,0,3/1/17,11:11:56,900T,BFD Drill                                         ,0,0,11,BR             ,Allston-Brighton                                  ,2135,900,"Outside or special property, Other                ",47,  ,OAK SQUARE               ,  ,AVE ,                                        ,  ,                         ,  ,    
17-0012904,0,3/1/17,11:17:41,711,"Municipal alarm system, malicious false alarm     ",0,0,8,DO             ,Dorchester                                        ,2124,960,"Street, Other                                     ",        ,  ,ASHMONT                  ,  ,ST  ,: #3442                                 ,  ,OCEAN                    ,  ,ST  
17-0012905,0,3/1/17,11:19:59,743,"Smoke detector activation, no fire - unintentional",0,0,6,BO             ,Boston                                            ,2210,500,"Mercantile, business, Other                       ",470,  ,ATLANTIC                 ,  ,AVE ,: @BLDG-INDEPENDENCE WHARF              ,  ,                         ,  ,    
17-0012907,0,3/1/17,11:23:07,500,"Service Call, other                               ",0,0,4,BO             ,Boston                                            ,2116,429,Multifamily dwelling                              ,32-34   ,  ,FAIRFIELD                ,  ,ST  ,: #WYN4214                              ,  ,                         ,  ,    
17-0012908,0,3/1/17,11:25:49,714,"Central station, malicious false alarm            ",0,0,4,BO             ,Boston                                            ,2115,429,Multifamily dwelling                              ,12,  ,STONEHOLM                ,  ,ST  ,: #WYN3079                              ,  ,                         ,  ,    
17-0012909,0,3/1/17,11:27:27,735,Alarm system sounded due to malfunction           ,0,0,6,SB             ,South Boston                                      ,2210,500,"Mercantile, business, Other                       ",7,  ,CHANNEL                  ,  ,ST  ,: #INS298                               ,  ,                         ,  ,    
17-0012910,0,3/1/17,11:33:31,740,"Unintentional transmission of alarm, Other        ",0,0,3,BO             ,Boston                                            ,2110,500,"Mercantile, business, Other                       ",99,  ,HIGH                     ,  ,ST  ,: #12-1421                              ,  ,                         ,  ,    
