"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0026895","0","05/01/2017","00:25:16","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","    ","","120     ","  ","TREMONT                  ","  ","ST  ",": @COL-SUFFOLK UNIVERSITY LAW SCHOOL    ","  ","                         ","  ","    "
"17-0026896","0","05/01/2017","00:47:13","113 ","Cooking fire, confined to container               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","14      ","  ","FIDELIS                  ","  ","WAY ",": #13-5197                              ","  ","                         ","  ","    "
"17-0026897","0","05/01/2017","00:57:38","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","    ","","        ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","ALBANY                   ","  ","ST  "
"17-0026900","0","05/01/2017","01:12:54","741 ","Sprinkler activation, no fire - unintentional     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","    ","","25      ","  ","EDINBORO                 ","  ","ST  ",": #AFA7626                              ","  ","                         ","  ","    "
"17-0026901","0","05/01/2017","01:56:49","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","526     ","  ","PARK                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0026902","0","05/01/2017","02:06:00","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","15      ","  ","HAROLD                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0026903","0","05/01/2017","02:06:10","700 ","False alarm or false call, Other                  ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","UUU ","Undetermined                                      ","941     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0026905","0","05/01/2017","02:36:52","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","    ","","20      ","  ","CUSHING                  ","  ","AVE ",": @LTC-CUSHING MANOR COMMUNITY SUPPORT F","  ","                         ","  ","    "
"17-0026906","0","05/01/2017","02:54:12","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","459 ","Residential board and care                        ","1426    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0026907","0","05/01/2017","03:17:27","700 ","False alarm or false call, Other                  ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","UUU ","Undetermined                                      ","941     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0026909","0","05/01/2017","03:28:42","154 ","Dumpster or other outside trash receptacle fire   ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","900 ","Outside or special property, Other                ","188     ","  ","FAYWOOD                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0026910","0","05/01/2017","03:32:52","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","    ","","6       ","  ","CONCORD                  ","  ","SQ  ","                                        ","  ","                         ","  ","    "
"17-0026911","0","05/01/2017","03:32:56","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","430     ","E ","SIXTH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0026912","0","05/01/2017","04:44:26","553 ","Public service                                    ","0.0000","0.0000","12   ","JP             ","Jamaica Plain                                     ","02130     ","900 ","Outside or special property, Other                ","6       ","  ","SOUTHBOURNE              ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0026913","0","05/01/2017","05:08:32","551 ","Assist police or other governmental agency        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","322 ","Alcohol or substance abuse recovery center        ","363     ","  ","ALBANY                   ","  ","ST  ",": @PINE STREET INN-WOMENS INN - 363 ALBA","  ","                         ","  ","    "
"17-0026915","0","05/01/2017","06:32:27","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","764-776 ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0026917","0","05/01/2017","06:36:10","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","210 ","Schools, non-adult, other                         ","189     ","  ","GLENWAY                  ","  ","ST  ",": #12-339                               ","  ","                         ","  ","    "
"17-0026918","0","05/01/2017","06:39:48","442 ","Overheated motor                                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","241 ","Adult education center, college classroom         ","921     ","  ","BOYLSTON                 ","  ","ST  ",": #12-157                               ","  ","                         ","  ","    "
"17-0026921","0","05/01/2017","06:53:35","424 ","Carbon monoxide incident                          ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","25      ","  ","RAYNOR                   ","  ","CIR ","                                        ","  ","                         ","  ","    "
"17-0026922","0","05/01/2017","07:07:03","522 ","Water or steam leak                               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","400 ","Residential, Other                                ","250     ","  ","CAMBRIDGE                ","  ","ST  ",": #13-1354                              ","  ","                         ","  ","    "
"17-0026927","0","05/01/2017","07:29:14","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","419 ","1 or 2 family dwelling                            ","709     ","  ","BENNINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0026928","0","05/01/2017","07:35:26","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","500 ","Mercantile, business, Other                       ","55      ","  ","THOMSON                  ","  ","PL  ","                                        ","  ","                         ","  ","    "
"17-0026931","0","05/01/2017","07:48:04","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","213 ","Elementary school, including kindergarten         ","135     ","  ","HUMBOLDT                 ","  ","AVE ",": @SCH-TROTTER ELEMENTARY SCHOOL        ","  ","                         ","  ","    "
"17-0026933","0","05/01/2017","07:57:53","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","264     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0026934","0","05/01/2017","08:02:13","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","500 ","Mercantile, business, Other                       ","50      ","  ","FEDERAL                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0026935","0","05/01/2017","08:06:02","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","500 ","Mercantile, business, Other                       ","1033    ","  ","MASSACHUSETTS            ","  ","AVE ",": #CLM856                               ","  ","                         ","  ","    "
"17-0026936","0","05/01/2017","08:18:51","400 ","Hazardous condition, Other                        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","174 ","Rapid transit station                             ","200     ","  ","CHARLES                  ","  ","ST  ",": @MBTA STA-CHARLES                     ","  ","                         ","  ","    "
"17-0026939","0","05/01/2017","08:42:04","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","519 ","Food and beverage sales, grocery store            ","134     ","  ","SALEM                    ","  ","ST  ",": #INS260                               ","  ","                         ","  ","    "
"17-0026942","0","05/01/2017","09:06:56","710 ","Malicious, mischievous false call, Other          ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","9       ","  ","CROCKERS                 ","  ","LN  ","                                        ","  ","                         ","  ","    "
"17-0026947","0","05/01/2017","09:29:59","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","161 ","Restaurant or cafeteria                           ","261-263 ","  ","HANOVER                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0026949","0","05/01/2017","09:40:44","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","500 ","Mercantile, business, Other                       ","280-306 ","  ","WASHINGTON               ","  ","ST  ",": #14-1272                              ","  ","                         ","  ","    "
