"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0072495","0","11/01/2017","00:21:20","500 ","Service Call, other                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","596     ","  ","TREMONT                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072496","0","11/01/2017","00:28:05","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","250     ","N ","BEACON                   ","  ","ST  ",": #12-5462                              ","  ","                         ","  ","    "
"17-0072498","0","11/01/2017","00:43:36","442 ","Overheated motor                                  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1762    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0072499","0","11/01/2017","00:55:10","552 ","Police matter                                     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","962 ","Residential street, road or residential driveway  ","        ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","WASHINGTON               ","  ","ST  "
"17-0072500","0","11/01/2017","00:59:07","553 ","Public service                                    ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","    ","","218     ","  ","BROOKS                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072501","0","11/01/2017","01:04:03","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","112     ","  ","MARLBOROUGH              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072504","0","11/01/2017","01:43:00","554 ","Assist invalid                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","755     ","  ","TREMONT                  ","  ","ST  ",": @BHA-FREDERICK DOUGLAS                ","  ","                         ","  ","    "
"17-0072509","0","11/01/2017","02:20:15","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","    ","","116     ","  ","HEMENWAY                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072511","0","11/01/2017","02:34:36","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","900 ","Outside or special property, Other                ","35      ","  ","B                        ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072512","0","11/01/2017","03:18:01","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","112     ","  ","MARLBOROUGH              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072514","0","11/01/2017","04:37:26","116 ","Fuel burner/boiler malfunction, fire confined     ","500.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","11      ","  ","SAINT MARGARET           ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0072516","0","11/01/2017","05:38:42","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","200 ","Educational, Other                                ","730     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
