"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0064730","0","10/01/2017","00:02:00","552 ","Police matter                                     ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","960 ","Street, Other                                     ","        ","  ","WOODROW                  ","  ","AVE ","                                        ","  ","WOLLASTON                ","  ","TER "
"17-0064732","0","10/01/2017","00:25:08","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","72      ","  ","WESTLAND                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0064734","0","10/01/2017","00:38:53","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","419 ","1 or 2 family dwelling                            ","48      ","  ","GUILD                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0064739","0","10/01/2017","01:00:43","500 ","Service Call, other                               ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","419 ","1 or 2 family dwelling                            ","83      ","  ","COMO                     ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0064740","0","10/01/2017","01:15:50","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","    ","","71      ","  ","PHILLIPS                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0064743","0","10/01/2017","01:27:54","554 ","Assist invalid                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02121     ","400 ","Residential, Other                                ","2       ","  ","KINGBIRD                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0064744","0","10/01/2017","01:40:26","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","599 ","Business office                                   ","72-80   ","  ","BROAD                    ","  ","ST  ",": #15-1285                              ","  ","                         ","  ","    "
"17-0064746","0","10/01/2017","01:59:02","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","599 ","Business office                                   ","80      ","  ","BROAD                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0064747","0","10/01/2017","02:01:45","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","500 ","Mercantile, business, Other                       ","7       ","  ","ALLSTATE                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0064751","0","10/01/2017","02:07:51","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","960 ","Street, Other                                     ","        ","  ","COLUMBIA                 ","  ","RD  ",": #1772                                 ","  ","QUINCY                   ","  ","ST  "
"17-0064752","0","10/01/2017","02:10:43","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","140 ","Clubs, Other                                      ","51      ","  ","STUART                   ","  ","ST  ",": #CLM562                               ","  ","                         ","  ","    "
"17-0064753","0","10/01/2017","02:12:02","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","960 ","Street, Other                                     ","        ","  ","MARTIN LUTHER KING JR    ","  ","BLVD",": #2283                                 ","  ","WASHINGTON               ","  ","ST  "
"17-0064754","0","10/01/2017","02:26:54","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","    ","","291     ","  ","NEWBURY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0064756","0","10/01/2017","02:36:29","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","    ","","600     ","  ","HUNTINGTON               ","  ","AVE ",": @COL-MASSART-ARTISTS' RESIDENCE       ","  ","                         ","  ","    "
"17-0064757","0","10/01/2017","02:37:27","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","963 ","Street or road in commercial area                 ","        ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","DARTMOUTH                ","  ","ST  "
"17-0064758","0","10/01/2017","02:54:27","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","460 ","Dormitory-type residence, other                   ","621     ","  ","HUNTINGTON               ","  ","AVE ",": #19-2363                              ","  ","                         ","  ","    "
"17-0064760","0","10/01/2017","03:28:32","522 ","Water or steam leak                               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","4       ","  ","EMERSON                  ","  ","PL  ","                                        ","  ","                         ","  ","    "
"17-0064766","0","10/01/2017","04:53:19","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","20      ","  ","WASHINGTON               ","  ","ST  ",": #14-531                               ","  ","                         ","  ","    "
"17-0064767","0","10/01/2017","05:12:29","700 ","False alarm or false call, Other                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","429 ","Multifamily dwelling                              ","790     ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0064768","0","10/01/2017","05:14:45","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","519 ","Food and beverage sales, grocery store            ","1400    ","  ","TREMONT                  ","  ","ST  ",": #33-2366                              ","  ","                         ","  ","    "
