"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"17-0056968","0","09/01/2017","00:48:52","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","900 ","Outside or special property, Other                ","120     ","  ","HOWARD                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0056970","0","09/01/2017","00:59:30","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02125     ","429 ","Multifamily dwelling                              ","278     ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0056972","0","09/01/2017","01:09:35","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","419 ","1 or 2 family dwelling                            ","12      ","  ","WOODCLIFF                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"17-0056973","0","09/01/2017","01:12:52","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","7       ","  ","STRATHCONA               ","  ","RD  ","                                        ","  ","                         ","  ","    "
"17-0056974","0","09/01/2017","01:13:01","150 ","Outside rubbish fire, Other                       ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","962 ","Residential street, road or residential driveway  ","        ","  ","TREMONT                  ","  ","ST  ","                                        ","  ","CONCORD                  ","  ","SQ  "
"17-0056975","0","09/01/2017","01:22:11","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","962 ","Residential street, road or residential driveway  ","        ","  ","BOWDOIN                  ","  ","ST  ",": #3123                                 ","  ","HAMILTON                 ","  ","ST  "
"17-0056977","0","09/01/2017","01:28:34","160 ","Special outside fire, Other                       ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","900 ","Outside or special property, Other                ","360     ","  ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0056978","0","09/01/2017","01:29:55","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","962 ","Residential street, road or residential driveway  ","        ","  ","CLARKSON                 ","  ","ST  ",": #1884                                 ","  ","QUINCY                   ","  ","ST  "
"17-0056979","0","09/01/2017","01:50:24","600 ","Good intent call, Other                           ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","439 ","Boarding/rooming house, residential hotels        ","2262    ","  ","DORCHESTER               ","  ","AVE ",": @BHA-LOWER MILLS                      ","  ","                         ","  ","    "
"17-0056980","0","09/01/2017","01:58:12","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","135     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"17-0056981","0","09/01/2017","02:16:45","551 ","Assist police or other governmental agency        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","500 ","Mercantile, business, Other                       ","151     ","  ","HARVARD                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
