skills	frequency	median	mean	std
(home) house design	39	33.0	34.76923076923077	16.104039275028484
(video) game design	2	41.5	41.5	33.23401871576773
(video) game development	12	15.5	20.75	13.239918978054757
(video) game programming	1	26.0	26.0	
(video) game reviews	8	26.0	25.375	9.07016301633312
(video) game testing	1	10.0	10.0	
.net framework	32	17.5	27.84375	26.843764669153675
2d animation	22	24.5	26.318181818181817	19.47498117521277
2d design	4	23.0	24.0	12.54325848148452
3d animation	29	20.0	22.75862068965517	12.26975134342814
3d banner	1	10.0	10.0	
3d design	66	30.0	30.560606060606062	15.141515814656774
3d logo	12	11.5	15.5	7.0
3d modeling	57	23.0	24.75438596491228	12.294424842403721
3d printing	1	23.0	23.0	
3d rendering	37	29.0	28.594594594594593	17.512629505365325
3d rigging	1	53.0	53.0	
3d visualizer	4	34.0	30.5	11.818065267490557
A# .NET programming language	1	10.0	10.0	
ActionScript programming language	11	33.0	30.272727272727273	16.607774740108376
Afrikaans <=> English translation	1	11.0	11.0	
Afrikaans translation	1	11.0	11.0	
Albanian <=> English translation	3	10.0	24.333333333333332	24.826061575153908
Arabic <=> English	1	10.0	10.0	
Arabic <=> English translation	32	11.0	15.375	8.635074761056343
Arabic translation	3	10.0	10.333333333333334	0.5773502691896257
Armenian <=> English translation	1	100.0	100.0	
Bahasa <=> English	1	11.0	11.0	
Bahasa <=> English translation	1	11.0	11.0	
Bash (Bourne shell) programming language	1	30.0	30.0	
Bengali <=> English translation	3	15.0	16.0	6.557438524302
Bosnian <=> English translation	1	17.0	17.0	
Bulgarian <=> English translation	7	23.0	23.285714285714285	9.411239481143202
C# programming language	52	20.0	30.923076923076923	28.677959121362104
C++ programming language	17	20.0	28.41176470588235	25.53443465090184
Catalan <=> English translation	1	23.0	23.0	
Classified advertising	1	10.0	10.0	
ColdFusion programming language	1	40.0	40.0	
Copywriting	1711	26.0	33.58562244301578	31.902292409813228
Croatian <=> English translation	5	15.0	15.0	3.6742346141747673
Czech <=> English translation	4	21.0	33.5	31.38470965295043
Danish <=> English translation	4	29.5	30.0	3.7416573867739413
DevExpress ASP.NET	3	15.0	15.0	5.0
Django-cms	8	19.0	24.0	15.175167685588
DotNetNuke	7	33.0	36.0	22.810816147900834
Dutch <=> English	1	17.0	17.0	
Dutch <=> English translation	13	26.0	32.30769230769231	18.758929497640207
Dutch translation	2	17.5	17.5	0.7071067811865476
EmailVerify.NET	1	10.0	10.0	
English grammar	15	13.0	15.666666666666666	7.603257447273755
English interpretation	2	25.0	25.0	21.213203435596427
English translation	41	12.0	16.26829268292683	11.031827569002116
Enterprise resource planning development	3	15.0	32.666666666666664	35.019042438840806
Essential Studio for ASP.NET MVC	6	15.0	15.333333333333334	4.0824829046386295
Extensible Markup Language (XML)	11	40.0	36.27272727272727	20.10020352678504
File Transfer Protocol (ftp)	4	24.0	30.25	15.370426148939398
Filipino <=> English translation	2	16.0	16.0	8.48528137423857
Finnish <=> English translation	2	23.5	23.5	3.5355339059327378
Finnish translation	1	40.0	40.0	
French <=> English	9	16.0	25.11111111111111	17.673740722074402
French <=> English translation	80	20.5	26.1125	19.192557728241923
French grammar	5	30.0	29.2	19.33132173442882
French translation	11	21.0	26.363636363636363	18.516331857431847
French vocabulary	2	11.0	11.0	1.4142135623730951
German <=> English	3	25.0	28.0	6.082762530298219
German <=> English translation	66	25.5	33.04545454545455	23.79620643210679
German translation	11	25.0	33.90909090909091	17.637769391023035
Google Web Toolkit (GWT)	1	15.0	15.0	
Greek <=> English translation	8	21.0	27.875	17.56162618568435
Greek translation	1	10.0	10.0	
Hindi <=> English interpretation	1	10.0	10.0	
Hindi <=> English translation	11	10.0	14.636363636363637	7.060775131283069
Hindi translation	1	10.0	10.0	
Hungarian <=> English translation	4	20.5	22.5	13.178264933847197
Hungarian interpretation	1	40.0	40.0	
Hungarian translation	2	27.5	27.5	17.67766952966369
Information Technology Infrastructure Library (ITIL)	3	60.0	58.666666666666664	37.018013633004855
Information Technology management (IT Management)	1	20.0	20.0	
Information Technology support (IT support)	65	20.0	25.615384615384617	18.525904420982656
Information Technology training (IT training)	1	40.0	40.0	
International Organization for Standardization (ISO)	4	26.5	29.75	12.446552400832395
Italian <=> English	5	16.0	25.6	17.4441967427566
Italian <=> English translation	37	21.0	30.7027027027027	24.733990180928554
Italian grammar	2	16.0	16.0	2.8284271247461903
Italian translation	7	23.0	117.0	240.8055924046062
Italian vocabulary	1	14.0	14.0	
JScript .NET programming language	1	20.0	20.0	
Japanese <=> English	1	10.0	10.0	
Japanese <=> English translation	2	37.0	37.0	22.627416997969522
Java programming language	58	15.5	22.689655172413794	17.912268555135295
JavaScript programming language	316	20.0	27.800632911392405	20.402492835040178
Julia programming language	1	30.0	30.0	
Kiswahili translation	1	38.0	38.0	
LaTeX programming language	1	10.0	10.0	
Latin <=> English translation	1	24.0	24.0	
Lithuanian <=> English translation	1	11.0	11.0	
MATLAB programming language	7	23.0	25.571428571428573	19.251468713296855
MODX	2	30.0	30.0	22.627416997969522
Malay <=> English translation	1	12.0	12.0	
Mandarin <=> English translation	8	20.0	19.5	4.242640687119285
Mathematica programming language	3	20.0	16.666666666666668	5.773502691896257
Microsoft SQLServer	55	22.0	30.563636363636363	21.67330123751309
Model-view-viewmodel (MVVM)	1	125.0	125.0	
Moodle	8	19.5	21.125	11.419751060584215
Movable Type Open Source	1	30.0	30.0	
Norwegian <=> English translation	4	23.0	21.5	8.698658900466592
Object-relational mapping (ORM, O/RM, O/R mapping tool)	11	10.0	10.454545454545455	1.507556722888818
Objective-C programming language	4	23.5	23.5	10.785793124908958
Objective-J programming language	1	26.0	26.0	
OctoberCMS	1	12.0	12.0	
PHP programming language	793	18.0	23.896595208070618	16.80366124753911
PL/SQL programming language	1	18.0	18.0	
Perl programming language	5	13.0	20.8	18.088670487352022
Polish <=> English translation	4	16.0	16.25	6.946221994724902
Portuguese <=> English translation	8	20.5	17.75	5.725881092523166
Prepress	9	25.0	35.111111111111114	36.55285366576884
Prestashop	51	25.0	26.431372549019606	18.85020413890607
Python programming language	53	20.0	26.60377358490566	17.216203931003612
R programming language	9	30.0	29.555555555555557	15.403823479181321
Rich Site Summary (RSS)	2	11.5	11.5	2.1213203435596424
Romanian <=> English	1	132.0	132.0	
Romanian <=> English translation	7	20.0	34.714285714285715	40.27287873873386
Romanian translation	2	14.5	14.5	7.7781745930520225
Ruby programming language	1	26.0	26.0	
Russian <=> English	1	20.0	20.0	
Russian <=> English translation	11	20.0	21.90909090909091	17.0379256099711
Russian grammar	1	20.0	20.0	
Russian interpretation	1	10.0	10.0	
Russian translation	1	20.0	20.0	
SAS programming language	6	27.5	33.333333333333336	17.974055376198958
Scala programming language	1	15.0	15.0	
Secure Sockets Layer (SSL)	4	23.0	23.5	5.507570547286102
Serbian <=> English translation	2	20.5	20.5	12.020815280171307
Simple DirectMedia Layer (SDL)	1	14.0	14.0	
Slovenian <=> English translation	2	26.0	26.0	2.8284271247461903
Software as a service (SaaS)	1	12.0	12.0	
Spanish <=> English	4	12.5	58.5	93.67496997597597
Spanish <=> English translation	31	18.0	21.387096774193548	13.027349229869799
Spanish translation	4	14.5	15.5	5.446711546122731
Spanish vocabulary	1	18.0	18.0	
Spring Framework	3	15.0	19.333333333333332	12.096831541082704
Stata programming language	1	24.0	24.0	
Swahili <=> English translation	1	12.0	12.0	
Swedish <=> English	2	30.0	30.0	0.0
Swedish <=> English interpretation	1	30.0	30.0	
Swedish <=> English translation	3	30.0	26.666666666666668	5.773502691896257
Swedish grammar	1	30.0	30.0	
Swedish translation	2	30.0	30.0	0.0
Swedish vocabulary	1	30.0	30.0	
Tamil <=> English translation	1	10.0	10.0	
Turkish <=> English	3	10.0	11.0	1.7320508075688772
Turkish <=> English interpretation	1	13.0	13.0	
Turkish <=> English translation	4	11.5	21.5	21.047565179849187
Turkish grammar	1	53.0	53.0	
Turkish interpretation	2	31.5	31.5	30.405591591021544
TypeScript programming language	1	79.0	79.0	
UNITY programming language	5	15.0	17.8	9.364827814754525
Ukrainian <=> English translation	1	20.0	20.0	
Umbraco	5	53.0	60.8	52.31825685169566
Urdu <=> English translation	1	15.0	15.0	
VBA programming language	26	22.0	25.884615384615383	15.097885740929218
Vietnamese <=> English	1	10.0	10.0	
Vietnamese <=> English interpretation	1	10.0	10.0	
Vietnamese <=> English translation	1	10.0	10.0	
Vietnamese interpretation	1	10.0	10.0	
Visual Basic .NET programming language	1	10.0	10.0	
Visual Basic programming language	9	30.0	30.0	7.44983221287567
WebUI Studio 2013 for ASP.NET	1	10.0	10.0	
a/b testing	17	36.0	36.588235294117645	19.394131920278785
about me writing	2	16.0	16.0	5.656854249492381
about us writing	59	29.0	30.322033898305083	19.520493809085757
above the line marketing (atl marketing)	1	53.0	53.0	
academic researcher	28	14.0	23.178571428571427	19.442324147435876
academic writing	309	20.0	26.36569579288026	19.667502067687252
account management	39	25.0	31.384615384615383	20.129338871428683
accountant	19	11.0	14.210526315789474	6.124440540149326
accounts payable management	4	20.0	20.25	4.5
accounts receivable management	2	19.0	19.0	9.899494936611665
acquia drupal	1	20.0	20.0	
acquisition regulations	1	165.0	165.0	
acrylic painting	2	26.0	26.0	19.79898987322333
acting	3	33.0	46.666666666666664	35.52933060632206
active server page (asp)	70	19.5	26.514285714285716	21.9741236867649
activex data objects (ado)	1	23.0	23.0	
ad design	66	26.0	31.96969696969697	21.894832335135224
administration support	552	15.0	18.672101449275363	10.839837995648438
administrative assistant	83	13.0	16.91566265060241	9.636319532306405
adobe acrobat	6	16.0	23.833333333333332	16.785906787143393
adobe after effects	19	26.0	31.36842105263158	19.169450598734173
adobe analytics	3	45.0	38.333333333333336	25.658007197234422
adobe animation	1	25.0	25.0	
adobe business catalyst	2	30.5	30.5	21.920310216782973
adobe captivate	2	17.5	17.5	3.5355339059327378
adobe creative suite	55	33.0	37.0	23.298386528144277
adobe digital marketing suite	3	33.0	33.0	13.0
adobe dreamweaver	51	26.0	32.15686274509804	24.82689875841895
adobe flash	37	26.0	28.594594594594593	18.01767567242336
adobe flex	1	46.0	46.0	
adobe framemaker	1	15.0	15.0	
adobe graphics	3	10.0	10.0	0.0
adobe illustrator	149	20.0	24.496644295302012	18.62126950163036
adobe indesign	101	26.0	32.53465346534654	18.165662309112566
adobe livecycle	1	10.0	10.0	
adobe muse	1	15.0	15.0	
adobe photoshop	588	20.0	25.33503401360544	17.569380515128667
adobe photoshop lightroom	8	18.0	27.5	18.306907361508582
adobe photoshop touch	3	10.0	11.0	1.7320508075688772
adobe portable document format (pdf)	54	11.5	17.703703703703702	12.930335298414345
adobe premiere / premiere elements	12	28.5	32.5	23.670080846349624
advertisement posting	3	10.0	12.666666666666666	4.618802153517006
advertising marketing	274	33.0	36.777372262773724	24.862362488862146
advertorial writing	24	33.0	40.916666666666664	20.071430413415474
advice/consult and guidance	155	33.0	41.193548387096776	31.960019012029182
adwords	409	33.0	36.15892420537897	24.41595578467173
adwords application programming interface (API)	11	33.0	39.36363636363637	27.023222336622727
affiliate marketing	129	20.0	27.666666666666668	22.260999153976297
agile software	16	27.5	35.4375	29.108919022640926
agile software development	8	27.5	27.625	7.836498853806736
ajax	67	20.0	27.223880597014926	21.735197607011305
album cover design	1	20.0	20.0	
algorithm development	1	10.0	10.0	
alm/tfs	1	66.0	66.0	
amazon appstore	2	10.5	10.5	0.7071067811865476
amazon cloud	1	80.0	80.0	
amazon ec2	6	21.0	23.166666666666668	12.624051119457125
amazon kindle design	7	20.0	19.285714285714285	9.19627253681776
amazon kindle publishing	2	46.5	46.5	19.091883092036785
amazon listing	71	10.0	23.323943661971832	33.955758883703496
amazon marketplace web service (mws)	8	17.5	22.375	15.117988339345
amazon mws	1	20.0	20.0	
amazon s3	7	11.0	12.0	2.160246899469287
amazon seller	20	23.5	36.6	29.587337263021652
amazon store management	67	16.0	30.83582089552239	39.275096981121855
amazon web services	78	15.0	23.628205128205128	24.570655591927462
amazon webstore	10	13.0	21.4	18.833775806011687
amplitube	1	18.0	18.0	
